wo_plano_drive_1;wo_plano_drive_2;wo_plano_mean
-1,356;-1,404;-1,38
-1,153;-1,191;-1,172
-1,377;-1,354;-1,3655
-1,862;-1,374;-1,618
-1,708;-1,507;-1,6075
-1,802;-1,453;-1,6275
-1,717;-1,546;-1,6315
-1,601;-1,441;-1,521
-1,51;-1,187;-1,3485
-1,259;-1,154;-1,2065
-1,251;-1,359;-1,305
-0,863;-1,434;-1,1485
-1,12;-1,532;-1,326
-1,331;-1,002;-1,1665
-1,348;-1,078;-1,213
-0,948;-1,261;-1,1045
-1,047;-1,401;-1,224
-1,284;-1,426;-1,355
-1,087;-1,286;-1,1865
-1,327;-1,814;-1,5705
-1,154;-1,772;-1,463
-1,275;-1,686;-1,4805
-1,226;-1,371;-1,2985
-0,97;-1,379;-1,1745
-0,927;-1,501;-1,214
-0,985;-1,465;-1,225
-1,201;-1,327;-1,264
-1,098;-1,519;-1,3085
-0,921;-1,641;-1,281
-1,343;-1,558;-1,4505
-1,26;-1,301;-1,2805
-1,203;-0,943;-1,073
-1,041;-0,958;-0,9995
-0,712;-1,041;-0,8765
-0,747;-1,213;-0,98
-1,515;-0,87;-1,1925
-1,513;-0,633;-1,073
-1,051;-0,833;-0,942
-0,726;-0,762;-0,744
-0,697;-0,357;-0,527
-0,681;-0,696;-0,6885
-0,807;-0,524;-0,6655
-0,739;-0,498;-0,6185
-0,641;-0,835;-0,738
-0,934;-0,652;-0,793
-0,971;-0,724;-0,8475
-0,796;-0,585;-0,6905
-0,842;-0,444;-0,643
-0,736;-0,203;-0,4695
-0,426;-0,121;-0,2735
-0,429;0;-0,2145
-0,486;-0,092;-0,289
-0,184;-0,297;-0,2405
-0,131;-0,223;-0,177
-0,199;-0,206;-0,2025
0;0;0
-0,098;0;-0,049
0;-0,205;-0,1025
-0,082;-0,282;-0,182
-0,262;-0,738;-0,5
-0,411;-0,664;-0,5375
-0,634;-0,663;-0,6485
-0,598;-0,572;-0,585
-0,74;-0,62;-0,68
-0,769;-0,819;-0,794
-0,919;-0,797;-0,858
-0,901;-1,076;-0,9885
-1,032;-0,748;-0,89
-0,829;-1,159;-0,994
-0,854;-1,383;-1,1185
-0,717;-1,362;-1,0395
-0,749;-1,256;-1,0025
-0,992;-1,342;-1,167
-1,208;-0,916;-1,062
-1,034;-0,57;-0,802
-0,862;-0,258;-0,56
-0,694;-0,181;-0,4375
-0,5;0;-0,25
-0,248;-0,084;-0,166
0;-0,111;-0,0555
-0,048;0;-0,024
-0,169;-0,249;-0,209
-0,19;-0,066;-0,128
